ACCURACY COMPARISON: BEFORE vs AFTER OPTIMISATION
==================================================
Metric                        Before      After
--------------------------------------------------
Overall Accuracy (%)          100.00      99.96
Detection Rate (%)             98.96      99.46
Correct Frames                  2375       2386
Total Frames                    2375       2387
Undetected Frames                 25         13

PER-CLASS ACCURACY
--------------------------------------------------
Letter         Before      After      Delta
--------------------------------------------------
  A            100.0%      100.0%       +0.0%
  B            100.0%      100.0%       +0.0%
  C             91.0%      100.0%       +9.0%
  D            100.0%      100.0%       +0.0%
  E            100.0%      100.0%       +0.0%
  F            100.0%      100.0%       +0.0%
  G            100.0%       93.0%       -7.0%
  H            100.0%       94.0%       -6.0%
  I            100.0%      100.0%       +0.0%
  K            100.0%      100.0%       +0.0%
  L            100.0%      100.0%       +0.0%
  M            100.0%      100.0%       +0.0%
  N            100.0%      100.0%       +0.0%
  O            100.0%      100.0%       +0.0%
  P             99.0%      100.0%       +1.0%
  Q            100.0%      100.0%       +0.0%
  R            100.0%      100.0%       +0.0%
  S             99.0%      100.0%       +1.0%
  T            100.0%      100.0%       +0.0%
  U            100.0%      100.0%       +0.0%
  V            100.0%      100.0%       +0.0%
  W            100.0%      100.0%       +0.0%
  X             86.0%      100.0%      +14.0%
  Y            100.0%       99.0%       -1.0%
--------------------------------------------------
  MEAN          99.0%       99.4%       +0.5%
